date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:56:32	56921/56921	---M--	200	added ('OK')	image/jpeg	etag:%22de59-5c03e071e2dfb%22	https://preview.colorlib.com/theme/unioncorp/images/staff-8.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/staff-8.jpg	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:32	88035/88035	---M--	200	added ('OK')	image/jpeg	etag:%22157e3-5c03e0971b16c%22	https://preview.colorlib.com/theme/unioncorp/images/staff-7.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/staff-7.jpg	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:32	36090/36090	---M--	200	added ('OK')	image/jpeg	etag:%228cfa-5c03e090d7975%22	https://preview.colorlib.com/theme/unioncorp/images/person_1.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/person_1.jpg	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:32	156863/156863	---M--	200	added ('OK')	image/jpeg	etag:%22264bf-5c03e095ee4fa%22	https://preview.colorlib.com/theme/unioncorp/images/staff-5.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/staff-5.jpg	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:32	47939/47939	---M--	200	added ('OK')	image/jpeg	etag:%22bb43-5c03e08dd2298%22	https://preview.colorlib.com/theme/unioncorp/images/person_2.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/person_2.jpg	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:32	35096/35096	---M--	200	added ('OK')	image/jpeg	etag:%228918-5c03e08a78bfe%22	https://preview.colorlib.com/theme/unioncorp/images/person_3.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/person_3.jpg	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:33	19298/19298	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20Apr%202021%2011:55:25%20GMT	https://preview.colorlib.com/theme/unioncorp/blog-single.html	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/blog-single.html	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:33	25350/25350	---M--	200	added ('OK')	image/jpeg	etag:%226306-5c03e08902baf%22	https://preview.colorlib.com/theme/unioncorp/images/person_4.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/person_4.jpg	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:34	74006/74006	---M--	200	added ('OK')	image/jpeg	etag:%2212116-5c03e088e4751%22	https://preview.colorlib.com/theme/unioncorp/images/image_3.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/image_3.jpg	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:34	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226696a9e8-4d7%22	https://preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	D:/financeTemplate/Finance/preview.colorlib.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:34	61355/61355	---M--	200	added ('OK')	image/jpeg	etag:%22efab-5c03e08bbeeb0%22	https://preview.colorlib.com/theme/unioncorp/images/image_4.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/image_4.jpg	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:34	103144/103144	---M--	200	added ('OK')	image/jpeg	etag:%22192e8-5c03e087b1d1e%22	https://preview.colorlib.com/theme/unioncorp/images/image_2.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/image_2.jpg	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:35	80821/80821	---M-Z	200	added ('OK')	application/javascript	etag:%2213bb5-5c03e09eab975-gzip%22	https://preview.colorlib.com/theme/unioncorp/js/bootstrap.bundle.min.js	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/js/bootstrap.bundle.min.js	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:35	494726/494726	---M--	200	added ('OK')	image/jpeg	etag:%2278c86-5c03e08ae043a%22	https://preview.colorlib.com/theme/unioncorp/images/image_1.jpg	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/images/image_1.jpg	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:35	100605/100605	---M-Z	200	added ('OK')	application/javascript	etag:%22188fd-5c03e0a161eb6-gzip%22	https://preview.colorlib.com/theme/unioncorp/js/tiny-slider.js	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/js/tiny-slider.js	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:35	54228/54228	---M-Z	200	added ('OK')	application/javascript	etag:%22d3d4-5c03e0a26996a-gzip%22	https://preview.colorlib.com/theme/unioncorp/js/glightbox.min.js	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/js/glightbox.min.js	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:36	14243/14243	---M-Z	200	added ('OK')	application/javascript	etag:%2237a3-5c03e0a13bd57-gzip%22	https://preview.colorlib.com/theme/unioncorp/js/aos.js	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/js/aos.js	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:36	31358/31358	---M-Z	200	added ('OK')	application/javascript	etag:%227a7e-5c03e09d67604-gzip%22	https://preview.colorlib.com/theme/unioncorp/js/datepicker.min.js	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/js/datepicker.min.js	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:37	1946/1946	---M-Z	200	added ('OK')	application/javascript	etag:%2279a-5c03e09e838d7-gzip%22	https://preview.colorlib.com/theme/unioncorp/js/google-map.js	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/js/google-map.js	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:37	4248/4248	---M-Z	200	added ('OK')	application/javascript	etag:%221098-5c03e09fe9f27-gzip%22	https://preview.colorlib.com/theme/unioncorp/js/main.js	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/js/main.js	(from https://preview.colorlib.com/theme/unioncorp/index.html)
00:56:38	9102/9102	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22238e-5c03f2ab4af60%22	https://preview.colorlib.com/theme/unioncorp/fonts/flaticon/font/Flaticon.eot	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/fonts/flaticon/font/Flaticon.eot	(from https://preview.colorlib.com/theme/unioncorp/css/flaticon.css)
00:56:38	9102/9102	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22238e-5c03f2ab4af60%22	https://preview.colorlib.com/theme/unioncorp/fonts/flaticon/font/Flaticon.eot?	D:/financeTemplate/Finance/preview.colorlib.com/theme/unioncorp/fonts/flaticon/font/Flaticond41d.eot	(from https://preview.colorlib.com/theme/unioncorp/css/flaticon.css)
